#IC 4182
#Name	logP	m	
C1-V1	0.842	24.47	
C1-V2	0.863	24.54	
C1-V4	1.393	23.29	
C1-V5	0.964	24.10	
C1-V6	1.623	21.87	
C2-V1	0.760	24.65	
C2-V2	1.574	22.86	
C2-V3	0.838	24.57	
C3-V1	0.629	24.98	
C3-V7	0.790	25.13	
C3-V9	1.332	22.80	
C3-V10	1.021	24.56	
C3-V11	1.124	24.04	
C3-V12	1.560	22.36	
C4-V1	0.565	24.83	
C4-V2	0.766	24.80	
C4-V4	0.714	24.85	
C4-V7	1.568	22.70	
C4-V8	1.547	22.72	
C4-V9	0.852	24.65	
C4-V10	1.255	23.14	
C4-V11	1.623	22.33	
C4-V14	1.342	23.42	
C4-V15	1.314	23.36	
C4-V16	1.204	23.76	
C4-V17	0.866	24.85	
C4-V18	1.428	23.20
