#NGC 3627
#Name	logP	m
C2-V4	1.623	24.55	
C2-V8	1.602	24.87	
C2-V10	1.342	24.71	
C2-V12	1.415	25.03	
C2-V13	1.260	25.83	
C2-V15	1.431	25.71	
C2-V17	1.613	24.24	
C2-V19	1.763	24.80	
C2-V20	1.415	24.84	
C2-V22	1.255	25.19	
C2-V29	1.272	25.58	
C2-V32	1.407	25.29	
C2-V33	1.505	24.64	
C2-V34	1.681	24.35	
C2-V35	1.452	25.24	
C3-V1	1.288	25.77	
C3-V3	1.477	24.99	
C3-V4	1.431	25.22	
C3-V5	1.288	25.01	
C3-V6	1.342	25.14	
C3-V8	1.288	25.38	
C3-V10	1.613	24.21	
C4-V2	1.272	25.76	
C4-V4	1.415	25.42	
C4-V6	1.283	25.47	
