#NGC 4496A
#Name	logP	m
C1-V1	1.511	25.57	
C1-V4	1.447	25.86	
C1-V5	1.449	26.04	
C1-V6	1.294	26.27	
C1-V9	1.462	25.70	
C1-V10	1.301	26.33	
C1-V12	1.653	24.75	
C1-V13	1.462	25.42	
C1-V16	1.505	25.14	
C1-V17	1.352	26.29	
C2-V12	1.613	25.63	
C2-V14	1.724	24.47	
C2-V17	1.602	25.15	
C2-V18	1.447	25.39	
C2-V20	1.699	25.27	
C2-V21	1.716	25.23	
C2-V22	1.708	24.44	
C2-V24	1.328	26.22	
C2-V27	1.255	26.31	
C3-V2	1.519	25.26	
C3-V3	1.720	25.14	
C3-V4	1.720	24.37	
C3-V12	1.531	25.49	
C3-V17	1.398	25.79	
C3-V21	1.663	25.23	
C3-V28	1.591	25.45	
C3-V34	1.531	25.84	
C3-V36	1.283	26.39	
C3-V37	1.716	24.50	
C3-V39	1.255	26.30	
C4-V7	1.845	24.52	
C4-V10	1.386	26.07	
C4-V14	1.369	25.64	
C4-V16	1.281	26.18	
C4-V20	1.401	25.49	
C4-V22	1.484	25.19	
C4-V23	1.436	25.46	
C4-V27	1.375	25.58	
C4-V28	1.267	26.50	
C4-V32	1.412	25.62	
C4-V35	1.281	26.42	
C4-V37	1.748	25.11	
C4-V40	1.556	25.43	
